imagen,estado,portada,kb,calidad_jpg
images/deportes/lentes-ciclismo/informacion-lentes.jpg,omitida (infografia/banner),,,
images/deportes/lentes-ciclismo/lentes-ciclismo-1.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-1-jpg.jpg,89.9,92
images/deportes/lentes-ciclismo/lentes-ciclismo-1.png,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-1-png.jpg,90.3,92
images/deportes/lentes-ciclismo/lentes-ciclismo-10.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-10-jpg.jpg,94.3,92
images/deportes/lentes-ciclismo/lentes-ciclismo-10.png,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-10-png.jpg,95.2,92
images/deportes/lentes-ciclismo/lentes-ciclismo-2.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-2-jpg.jpg,105.5,92
images/deportes/lentes-ciclismo/lentes-ciclismo-2.png,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-2-png.jpg,104.0,92
images/deportes/lentes-ciclismo/lentes-ciclismo-3.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-3-jpg.jpg,107.9,92
images/deportes/lentes-ciclismo/lentes-ciclismo-3.png,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-3-png.jpg,105.3,92
images/deportes/lentes-ciclismo/lentes-ciclismo-4.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-4-jpg.jpg,104.9,92
images/deportes/lentes-ciclismo/lentes-ciclismo-4.png,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-4-png.jpg,104.5,92
images/deportes/lentes-ciclismo/lentes-ciclismo-6.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-6-jpg.jpg,101.6,92
images/deportes/lentes-ciclismo/lentes-ciclismo-6.png,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-6-png.jpg,100.4,92
images/deportes/lentes-ciclismo/lentes-ciclismo-7.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-7-jpg.jpg,95.2,92
images/deportes/lentes-ciclismo/lentes-ciclismo-7.png,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-7-png.jpg,96.1,92
images/deportes/lentes-ciclismo/lentes-ciclismo-8.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-8-jpg.jpg,88.3,92
images/deportes/lentes-ciclismo/lentes-ciclismo-8.png,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-8-png.jpg,86.9,92
images/deportes/lentes-ciclismo/lentes-ciclismo-9.jpg,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-9-jpg.jpg,70.9,92
